relationship_id,:START_ID(Permit),:END_ID(Property),issue_date,permit_type,estimated_cost:long,relationship_type,source_system,source_load_ts,:TYPE
PERMIT_PROP_1000116_2066 0 32L,1000116,2066 0 32L,2025-06-06,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.416401,ISSUED_FOR
PERMIT_PROP_1000117_1125 0 17,1000117,1125 0 17,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.416497,ISSUED_FOR
PERMIT_PROP_1000118_1125 0 17,1000118,1125 0 17,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.416594,ISSUED_FOR
PERMIT_PROP_1000119_1125 0 17,1000119,1125 0 17,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.416691,ISSUED_FOR
PERMIT_PROP_1000120_1125 0 17,1000120,1125 0 17,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.416786,ISSUED_FOR
PERMIT_PROP_1000121_1125 0 17,1000121,1125 0 17,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.416882,ISSUED_FOR
PERMIT_PROP_1000122_1125 0 17,1000122,1125 0 17,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.416977,ISSUED_FOR
PERMIT_PROP_1000123_1125 0 17,1000123,1125 0 17,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.417074,ISSUED_FOR
PERMIT_PROP_1000124_1125 0 17,1000124,1125 0 17,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.417170,ISSUED_FOR
PERMIT_PROP_1000125_1125 0 17,1000125,1125 0 17,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.417267,ISSUED_FOR
PERMIT_PROP_1000126_1125 0 17,1000126,1125 0 17,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.417365,ISSUED_FOR
PERMIT_PROP_1000127_1125 0 17,1000127,1125 0 17,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.417463,ISSUED_FOR
PERMIT_PROP_1000129_1125 0 17,1000129,1125 0 17,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.417621,ISSUED_FOR
PERMIT_PROP_1000130_2029 0 50,1000130,2029 0 50,2025-06-06,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.417719,ISSUED_FOR
PERMIT_PROP_1000131_2050 0 5B,1000131,2050 0 5B,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.417816,ISSUED_FOR
PERMIT_PROP_1000132_3023 0 22A,1000132,3023 0 22A,2025-06-06,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.417914,ISSUED_FOR
PERMIT_PROP_1000133_2075 0 56,1000133,2075 0 56,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.418011,ISSUED_FOR
PERMIT_PROP_1000134_1125 0 17,1000134,1125 0 17,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.418108,ISSUED_FOR
PERMIT_PROP_1000135_3026 0 38,1000135,3026 0 38,2025-06-09,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.418207,ISSUED_FOR
PERMIT_PROP_1000136_1083 0 9F,1000136,1083 0 9F,2025-06-06,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.418304,ISSUED_FOR
PERMIT_PROP_1000137_1049 0 30,1000137,1049 0 30,2025-06-06,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.418403,ISSUED_FOR
PERMIT_PROP_1000139_1020 0 3,1000139,1020 0 3,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.418560,ISSUED_FOR
PERMIT_PROP_1000140_3052 0 58,1000140,3052 0 58,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.418753,ISSUED_FOR
PERMIT_PROP_1000141_3049 0 14,1000141,3049 0 14,2025-06-06,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.418870,ISSUED_FOR
PERMIT_PROP_1000142_3049 0 14,1000142,3049 0 14,2025-06-06,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.418982,ISSUED_FOR
PERMIT_PROP_1000143_3049 0 14,1000143,3049 0 14,2025-06-06,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.419150,ISSUED_FOR
