relationship_id,:END_ID(Permit),:START_ID(Contractor),work_start_date,work_category,contract_value:long,contractor_role,relationship_type,source_system,source_load_ts,:TYPE
PERMIT_CONT_1000219_2432148709.0,1000219,2432148709.0,2025-05-29,OTHER,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.537062,WORKED_ON
PERMIT_CONT_1000225_4294957260.0,1000225,4294957260.0,2025-06-02,ELECTRICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.537425,WORKED_ON
PERMIT_CONT_1000226_2925560840.0,1000226,2925560840.0,2025-05-29,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.537518,WORKED_ON
PERMIT_CONT_1000228_4160310886.0,1000228,4160310886.0,2025-05-30,BUILDING,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.537666,WORKED_ON
PERMIT_CONT_1000229_1698818122.0,1000229,1698818122.0,2025-05-30,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.537758,WORKED_ON
PERMIT_CONT_1000231_2432148709.0,1000231,2432148709.0,2025-05-29,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.537906,WORKED_ON
PERMIT_CONT_1000232_2432148709.0,1000232,2432148709.0,2025-05-29,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.537998,WORKED_ON
PERMIT_CONT_1000233_2432148709.0,1000233,2432148709.0,2025-05-29,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.538089,WORKED_ON
PERMIT_CONT_1000234_2432148709.0,1000234,2432148709.0,2025-05-29,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.538180,WORKED_ON
PERMIT_CONT_1000236_107480268.0,1000236,107480268.0,2025-06-02,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.538331,WORKED_ON
PERMIT_CONT_1000237_241115169.0,1000237,241115169.0,2025-05-28,PLUMBING,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.538424,WORKED_ON
PERMIT_CONT_1000238_241115169.0,1000238,241115169.0,2025-05-28,PLUMBING,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.538516,WORKED_ON
PERMIT_CONT_1000239_446519451.0,1000239,446519451.0,2025-05-29,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.538607,WORKED_ON
PERMIT_CONT_1000243_4294957132.0,1000243,4294957132.0,2025-06-03,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.538862,WORKED_ON
PERMIT_CONT_1000244_2432148709.0,1000244,2432148709.0,2025-05-28,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.538953,WORKED_ON
PERMIT_CONT_1000245_2578015069.0,1000245,2578015069.0,2025-05-27,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.539045,WORKED_ON
PERMIT_CONT_1000248_985397031.0,1000248,985397031.0,2025-05-29,ELECTRICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.539246,WORKED_ON
PERMIT_CONT_1000249_4271123894.0,1000249,4271123894.0,2025-05-27,OTHER,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.539338,WORKED_ON
PERMIT_CONT_1000251_528891713.0,1000251,528891713.0,2025-05-29,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.539486,WORKED_ON
PERMIT_CONT_1000256_3908245923.0,1000256,3908245923.0,2025-05-27,PLUMBING,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.539794,WORKED_ON
PERMIT_CONT_1000259_107480268.0,1000259,107480268.0,2025-05-28,ELECTRICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.539998,WORKED_ON
PERMIT_CONT_1000260_4294957133.0,1000260,4294957133.0,2025-05-28,ELECTRICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.540090,WORKED_ON
PERMIT_CONT_1000261_3384719439.0,1000261,3384719439.0,2025-05-30,OTHER,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.540183,WORKED_ON
PERMIT_CONT_1000263_213975868.0,1000263,213975868.0,2025-05-22,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.540331,WORKED_ON
PERMIT_CONT_1000265_801847169.0,1000265,801847169.0,2025-05-22,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.540477,WORKED_ON
PERMIT_CONT_1000270_269066445.0,1000270,269066445.0,2025-05-22,PLUMBING,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.540784,WORKED_ON
PERMIT_CONT_1000273_269066445.0,1000273,269066445.0,2025-05-22,PLUMBING,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.540984,WORKED_ON
PERMIT_CONT_1000276_1206040084.0,1000276,1206040084.0,2025-05-23,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.541185,WORKED_ON
PERMIT_CONT_1000277_1206040084.0,1000277,1206040084.0,2025-05-22,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.541277,WORKED_ON
PERMIT_CONT_1000278_2340179556.0,1000278,2340179556.0,2025-05-22,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.541372,WORKED_ON
PERMIT_CONT_1000279_2428300695.0,1000279,2428300695.0,2025-05-22,ELECTRICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.541464,WORKED_ON
PERMIT_CONT_1000280_2608723147.0,1000280,2608723147.0,2025-05-22,BUILDING,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.541556,WORKED_ON
PERMIT_CONT_1000283_651954411.0,1000283,651954411.0,2025-05-23,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.541758,WORKED_ON
PERMIT_CONT_1000284_2432148709.0,1000284,2432148709.0,2025-05-22,OTHER,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.541850,WORKED_ON
